Training initial dynamic: 
Total training time for initial dynamic 0:0
total loss: tensor(109.0432, grad_fn=<AddBackward0>) 
total loss: tensor(30.7857, grad_fn=<AddBackward0>) 
total loss: tensor(27.7545, grad_fn=<AddBackward0>) 
total loss: tensor(23.5254, grad_fn=<AddBackward0>) 
total loss: tensor(22.8719, grad_fn=<AddBackward0>) 
total loss: tensor(20.2487, grad_fn=<AddBackward0>) 
total loss: tensor(9.4384, grad_fn=<AddBackward0>) 
total loss: tensor(10.3257, grad_fn=<AddBackward0>) 
total loss: tensor(10.9588, grad_fn=<AddBackward0>) 
total loss: tensor(11.1185, grad_fn=<AddBackward0>) 
total loss: tensor(10.8513, grad_fn=<AddBackward0>) 
total loss: tensor(102.0087, grad_fn=<AddBackward0>) 
total loss: tensor(159.0541, grad_fn=<AddBackward0>) 
total loss: tensor(171.3111, grad_fn=<AddBackward0>) 
total loss: tensor(169.9036, grad_fn=<AddBackward0>) 
total loss: tensor(165.4108, grad_fn=<AddBackward0>) 
total loss: tensor(168.3738, grad_fn=<AddBackward0>) 
total loss: tensor(167.3761, grad_fn=<AddBackward0>) 
total loss: tensor(163.4134, grad_fn=<AddBackward0>) 
total loss: tensor(165.7780, grad_fn=<AddBackward0>) 
total loss: tensor(164.5820, grad_fn=<AddBackward0>) 
total loss: tensor(166.0720, grad_fn=<AddBackward0>) 
total loss: tensor(165.8483, grad_fn=<AddBackward0>) 
total loss: tensor(164.5843, grad_fn=<AddBackward0>) 
total loss: tensor(164.7550, grad_fn=<AddBackward0>) 
total loss: tensor(162.2522, grad_fn=<AddBackward0>) 
total loss: tensor(163.8658, grad_fn=<AddBackward0>) 
total loss: tensor(163.4564, grad_fn=<AddBackward0>) 
total loss: tensor(163.9791, grad_fn=<AddBackward0>) 
total loss: tensor(162.6706, grad_fn=<AddBackward0>) 
total loss: tensor(161.8830, grad_fn=<AddBackward0>) 
total loss: tensor(162.6320, grad_fn=<AddBackward0>) 
total loss: tensor(160.8269, grad_fn=<AddBackward0>) 
total loss: tensor(164.9491, grad_fn=<AddBackward0>) 
total loss: tensor(161.2838, grad_fn=<AddBackward0>) 
total loss: tensor(162.0871, grad_fn=<AddBackward0>) 
total loss: tensor(161.2134, grad_fn=<AddBackward0>) 
total loss: tensor(160.7668, grad_fn=<AddBackward0>) 
total loss: tensor(160.5894, grad_fn=<AddBackward0>) 
total loss: tensor(162.9788, grad_fn=<AddBackward0>) 
total loss: tensor(159.8800, grad_fn=<AddBackward0>) 
total loss: tensor(160.1638, grad_fn=<AddBackward0>) 
total loss: tensor(161.3733, grad_fn=<AddBackward0>) 
total loss: tensor(160.6724, grad_fn=<AddBackward0>) 
total loss: tensor(161.3833, grad_fn=<AddBackward0>) 
total loss: tensor(159.4711, grad_fn=<AddBackward0>) 
total loss: tensor(159.3892, grad_fn=<AddBackward0>) 
total loss: tensor(160.0850, grad_fn=<AddBackward0>) 
total loss: tensor(160.0093, grad_fn=<AddBackward0>) 
total loss: tensor(159.1003, grad_fn=<AddBackward0>) 
total loss: tensor(159.1404, grad_fn=<AddBackward0>) 
total loss: tensor(159.3611, grad_fn=<AddBackward0>) 
total loss: tensor(159.2193, grad_fn=<AddBackward0>) 
total loss: tensor(158.9494, grad_fn=<AddBackward0>) 
total loss: tensor(159.5326, grad_fn=<AddBackward0>) 
total loss: tensor(158.7003, grad_fn=<AddBackward0>) 
total loss: tensor(159.5632, grad_fn=<AddBackward0>) 
total loss: tensor(159.0874, grad_fn=<AddBackward0>) 
total loss: tensor(157.9651, grad_fn=<AddBackward0>) 
total loss: tensor(159.3446, grad_fn=<AddBackward0>) 
total loss: tensor(158.2403, grad_fn=<AddBackward0>) 
total loss: tensor(158.7064, grad_fn=<AddBackward0>) 
total loss: tensor(158.1017, grad_fn=<AddBackward0>) 
total loss: tensor(157.7673, grad_fn=<AddBackward0>) 
total loss: tensor(158.3322, grad_fn=<AddBackward0>) 
total loss: tensor(158.1899, grad_fn=<AddBackward0>) 
total loss: tensor(157.8096, grad_fn=<AddBackward0>) 
total loss: tensor(157.0608, grad_fn=<AddBackward0>) 
total loss: tensor(157.9379, grad_fn=<AddBackward0>) 
total loss: tensor(158.6551, grad_fn=<AddBackward0>) 
total loss: tensor(157.5670, grad_fn=<AddBackward0>) 
total loss: tensor(157.1586, grad_fn=<AddBackward0>) 
total loss: tensor(157.3421, grad_fn=<AddBackward0>) 
total loss: tensor(157.5291, grad_fn=<AddBackward0>) 
total loss: tensor(157.0817, grad_fn=<AddBackward0>) 
