Training initial dynamic: 
Total training time for initial dynamic 0:2
total loss: tensor(167.7030, grad_fn=<AddBackward0>) lctensor(4.1272, grad_fn=<MulBackward0>)
total loss: tensor(82.1903, grad_fn=<AddBackward0>) lctensor(3.5228, grad_fn=<MulBackward0>)
total loss: tensor(87.1529, grad_fn=<AddBackward0>) lctensor(4.2713, grad_fn=<MulBackward0>)
total loss: tensor(81.0565, grad_fn=<AddBackward0>) lctensor(3.8688, grad_fn=<MulBackward0>)
total loss: tensor(89.9331, grad_fn=<AddBackward0>) lctensor(4.4089, grad_fn=<MulBackward0>)
total loss: tensor(2.2179, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(288.0947, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(168.6852, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(168.2516, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(168.0118, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(167.6964, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(167.5758, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(167.3961, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(167.1972, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(167.0507, grad_fn=<AddBackward0>) lctensor(4.4230, grad_fn=<MulBackward0>)
total loss: tensor(30.4993, grad_fn=<AddBackward0>) lctensor(4.0844, grad_fn=<MulBackward0>)
total loss: tensor(17.7644, grad_fn=<AddBackward0>) lctensor(4.1308, grad_fn=<MulBackward0>)
total loss: tensor(17.4680, grad_fn=<AddBackward0>) lctensor(4.8752, grad_fn=<MulBackward0>)
total loss: tensor(20.4146, grad_fn=<AddBackward0>) lctensor(4.1274, grad_fn=<MulBackward0>)
total loss: tensor(19.4949, grad_fn=<AddBackward0>) lctensor(4.5726, grad_fn=<MulBackward0>)
total loss: tensor(13.1058, grad_fn=<AddBackward0>) lctensor(3.7361, grad_fn=<MulBackward0>)
total loss: tensor(10.4341, grad_fn=<AddBackward0>) lctensor(4.2810, grad_fn=<MulBackward0>)
total loss: tensor(10.2874, grad_fn=<AddBackward0>) lctensor(4.3304, grad_fn=<MulBackward0>)
total loss: tensor(4.0863, grad_fn=<AddBackward0>) lctensor(4.1967, grad_fn=<MulBackward0>)
total loss: tensor(19.8628, grad_fn=<AddBackward0>) lctensor(4.0496, grad_fn=<MulBackward0>)
